sep=;
code;number;country;groupName;pageNumber;slotNumber;isSpecial
"QAT-9";"129";"Catar";"Grupo B";"7";"9";"false"
"QAT-10";"130";"Catar";"Grupo B";"7";"10";"false"
"QAT-11";"131";"Catar";"Grupo B";"7";"11";"false"
"QAT-12";"132";"Catar";"Grupo B";"7";"12";"false"
"QAT-13";"133";"Catar";"Grupo B";"7";"13";"false"
"QAT-14";"134";"Catar";"Grupo B";"7";"14";"false"
"QAT-15";"135";"Catar";"Grupo B";"7";"15";"false"
"QAT-16";"136";"Catar";"Grupo B";"7";"16";"false"
"QAT-17";"137";"Catar";"Grupo B";"7";"17";"false"
"QAT-18";"138";"Catar";"Grupo B";"7";"18";"false"
"QAT-19";"139";"Catar";"Grupo B";"7";"19";"false"
"QAT-20";"140";"Catar";"Grupo B";"7";"20";"false"
"SUI-1";"141";"Suíça";"Grupo B";"8";"1";"false"
"SUI-2";"142";"Suíça";"Grupo B";"8";"2";"false"
"SUI-3";"143";"Suíça";"Grupo B";"8";"3";"false"
"SUI-4";"144";"Suíça";"Grupo B";"8";"4";"false"
"SUI-5";"145";"Suíça";"Grupo B";"8";"5";"false"
"SUI-6";"146";"Suíça";"Grupo B";"8";"6";"false"
"SUI-7";"147";"Suíça";"Grupo B";"8";"7";"false"
"SUI-8";"148";"Suíça";"Grupo B";"8";"8";"false"
"SUI-9";"149";"Suíça";"Grupo B";"8";"9";"false"
"SUI-10";"150";"Suíça";"Grupo B";"8";"10";"false"
"SUI-11";"151";"Suíça";"Grupo B";"8";"11";"false"
"SUI-12";"152";"Suíça";"Grupo B";"8";"12";"false"
"SUI-13";"153";"Suíça";"Grupo B";"8";"13";"false"
"SUI-14";"154";"Suíça";"Grupo B";"8";"14";"false"
"SUI-15";"155";"Suíça";"Grupo B";"8";"15";"false"
"SUI-16";"156";"Suíça";"Grupo B";"8";"16";"false"
"SUI-17";"157";"Suíça";"Grupo B";"8";"17";"false"
"SUI-18";"158";"Suíça";"Grupo B";"8";"18";"false"
"SUI-19";"159";"Suíça";"Grupo B";"8";"19";"false"
"SUI-20";"160";"Suíça";"Grupo B";"8";"20";"false"
"BRA-1";"161";"Brasil";"Grupo C";"9";"1";"false"
"BRA-2";"162";"Brasil";"Grupo C";"9";"2";"false"
"BRA-3";"163";"Brasil";"Grupo C";"9";"3";"false"
"BRA-4";"164";"Brasil";"Grupo C";"9";"4";"false"
"BRA-5";"165";"Brasil";"Grupo C";"9";"5";"false"
"BRA-6";"166";"Brasil";"Grupo C";"9";"6";"false"
"BRA-7";"167";"Brasil";"Grupo C";"9";"7";"false"
"BRA-8";"168";"Brasil";"Grupo C";"9";"8";"false"
"BRA-9";"169";"Brasil";"Grupo C";"9";"9";"false"
"BRA-10";"170";"Brasil";"Grupo C";"9";"10";"false"
"BRA-11";"171";"Brasil";"Grupo C";"9";"11";"false"
"BRA-12";"172";"Brasil";"Grupo C";"9";"12";"false"
"BRA-13";"173";"Brasil";"Grupo C";"9";"13";"false"
"BRA-14";"174";"Brasil";"Grupo C";"9";"14";"false"
"BRA-15";"175";"Brasil";"Grupo C";"9";"15";"false"
"BRA-16";"176";"Brasil";"Grupo C";"9";"16";"false"
"BRA-17";"177";"Brasil";"Grupo C";"9";"17";"false"
"BRA-18";"178";"Brasil";"Grupo C";"9";"18";"false"
"BRA-19";"179";"Brasil";"Grupo C";"9";"19";"false"
"BRA-20";"180";"Brasil";"Grupo C";"9";"20";"false"
"SCO-1";"181";"Escócia";"Grupo C";"10";"1";"false"
"SCO-2";"182";"Escócia";"Grupo C";"10";"2";"false"
"SCO-3";"183";"Escócia";"Grupo C";"10";"3";"false"
"SCO-4";"184";"Escócia";"Grupo C";"10";"4";"false"
"SCO-5";"185";"Escócia";"Grupo C";"10";"5";"false"
"SCO-6";"186";"Escócia";"Grupo C";"10";"6";"false"
"SCO-7";"187";"Escócia";"Grupo C";"10";"7";"false"
"SCO-8";"188";"Escócia";"Grupo C";"10";"8";"false"
"SCO-9";"189";"Escócia";"Grupo C";"10";"9";"false"
"SCO-10";"190";"Escócia";"Grupo C";"10";"10";"false"
"SCO-11";"191";"Escócia";"Grupo C";"10";"11";"false"
"SCO-12";"192";"Escócia";"Grupo C";"10";"12";"false"
"SCO-13";"193";"Escócia";"Grupo C";"10";"13";"false"
"SCO-14";"194";"Escócia";"Grupo C";"10";"14";"false"
"SCO-15";"195";"Escócia";"Grupo C";"10";"15";"false"
"SCO-16";"196";"Escócia";"Grupo C";"10";"16";"false"
"SCO-17";"197";"Escócia";"Grupo C";"10";"17";"false"
"SCO-18";"198";"Escócia";"Grupo C";"10";"18";"false"
"SCO-19";"199";"Escócia";"Grupo C";"10";"19";"false"
"SCO-20";"200";"Escócia";"Grupo C";"10";"20";"false"
"HAI-1";"201";"Haiti";"Grupo C";"11";"1";"false"
"HAI-2";"202";"Haiti";"Grupo C";"11";"2";"false"
"HAI-3";"203";"Haiti";"Grupo C";"11";"3";"false"
"HAI-4";"204";"Haiti";"Grupo C";"11";"4";"false"
"HAI-5";"205";"Haiti";"Grupo C";"11";"5";"false"
"HAI-6";"206";"Haiti";"Grupo C";"11";"6";"false"
"HAI-7";"207";"Haiti";"Grupo C";"11";"7";"false"
"HAI-8";"208";"Haiti";"Grupo C";"11";"8";"false"
"HAI-9";"209";"Haiti";"Grupo C";"11";"9";"false"
"HAI-10";"210";"Haiti";"Grupo C";"11";"10";"false"
"HAI-11";"211";"Haiti";"Grupo C";"11";"11";"false"
"HAI-12";"212";"Haiti";"Grupo C";"11";"12";"false"
"HAI-13";"213";"Haiti";"Grupo C";"11";"13";"false"
"HAI-14";"214";"Haiti";"Grupo C";"11";"14";"false"
"HAI-15";"215";"Haiti";"Grupo C";"11";"15";"false"
"HAI-16";"216";"Haiti";"Grupo C";"11";"16";"false"
"HAI-17";"217";"Haiti";"Grupo C";"11";"17";"false"
"HAI-18";"218";"Haiti";"Grupo C";"11";"18";"false"
"HAI-19";"219";"Haiti";"Grupo C";"11";"19";"false"
"HAI-20";"220";"Haiti";"Grupo C";"11";"20";"false"
"MAR-1";"221";"Marrocos";"Grupo C";"12";"1";"false"
"MAR-2";"222";"Marrocos";"Grupo C";"12";"2";"false"
"MAR-3";"223";"Marrocos";"Grupo C";"12";"3";"false"
"MAR-4";"224";"Marrocos";"Grupo C";"12";"4";"false"
"MAR-5";"225";"Marrocos";"Grupo C";"12";"5";"false"
"MAR-6";"226";"Marrocos";"Grupo C";"12";"6";"false"
"MAR-7";"227";"Marrocos";"Grupo C";"12";"7";"false"
"MAR-8";"228";"Marrocos";"Grupo C";"12";"8";"false"
"MAR-9";"229";"Marrocos";"Grupo C";"12";"9";"false"
"MAR-10";"230";"Marrocos";"Grupo C";"12";"10";"false"
"MAR-11";"231";"Marrocos";"Grupo C";"12";"11";"false"
"MAR-12";"232";"Marrocos";"Grupo C";"12";"12";"false"
"MAR-13";"233";"Marrocos";"Grupo C";"12";"13";"false"
"MAR-14";"234";"Marrocos";"Grupo C";"12";"14";"false"
"MAR-15";"235";"Marrocos";"Grupo C";"12";"15";"false"
"MAR-16";"236";"Marrocos";"Grupo C";"12";"16";"false"
"MAR-17";"237";"Marrocos";"Grupo C";"12";"17";"false"
"MAR-18";"238";"Marrocos";"Grupo C";"12";"18";"false"
"MAR-19";"239";"Marrocos";"Grupo C";"12";"19";"false"
"MAR-20";"240";"Marrocos";"Grupo C";"12";"20";"false"
"AUS-1";"241";"Austrália";"Grupo D";"13";"1";"false"
"AUS-2";"242";"Austrália";"Grupo D";"13";"2";"false"
"AUS-3";"243";"Austrália";"Grupo D";"13";"3";"false"
"AUS-4";"244";"Austrália";"Grupo D";"13";"4";"false"
"AUS-5";"245";"Austrália";"Grupo D";"13";"5";"false"
"AUS-6";"246";"Austrália";"Grupo D";"13";"6";"false"
"AUS-7";"247";"Austrália";"Grupo D";"13";"7";"false"
"AUS-8";"248";"Austrália";"Grupo D";"13";"8";"false"
"AUS-9";"249";"Austrália";"Grupo D";"13";"9";"false"
"AUS-10";"250";"Austrália";"Grupo D";"13";"10";"false"
"AUS-11";"251";"Austrália";"Grupo D";"13";"11";"false"
"AUS-12";"252";"Austrália";"Grupo D";"13";"12";"false"
"AUS-13";"253";"Austrália";"Grupo D";"13";"13";"false"
"AUS-14";"254";"Austrália";"Grupo D";"13";"14";"false"
"AUS-15";"255";"Austrália";"Grupo D";"13";"15";"false"
"AUS-16";"256";"Austrália";"Grupo D";"13";"16";"false"
"AUS-17";"257";"Austrália";"Grupo D";"13";"17";"false"
"AUS-18";"258";"Austrália";"Grupo D";"13";"18";"false"
"AUS-19";"259";"Austrália";"Grupo D";"13";"19";"false"
"AUS-20";"260";"Austrália";"Grupo D";"13";"20";"false"
"USA-1";"261";"Estados Unidos";"Grupo D";"14";"1";"false"
"USA-2";"262";"Estados Unidos";"Grupo D";"14";"2";"false"
"USA-3";"263";"Estados Unidos";"Grupo D";"14";"3";"false"
"USA-4";"264";"Estados Unidos";"Grupo D";"14";"4";"false"
"USA-5";"265";"Estados Unidos";"Grupo D";"14";"5";"false"
"USA-6";"266";"Estados Unidos";"Grupo D";"14";"6";"false"
"USA-7";"267";"Estados Unidos";"Grupo D";"14";"7";"false"
"USA-8";"268";"Estados Unidos";"Grupo D";"14";"8";"false"
"USA-9";"269";"Estados Unidos";"Grupo D";"14";"9";"false"
"USA-10";"270";"Estados Unidos";"Grupo D";"14";"10";"false"
"USA-11";"271";"Estados Unidos";"Grupo D";"14";"11";"false"
"USA-12";"272";"Estados Unidos";"Grupo D";"14";"12";"false"
"USA-13";"273";"Estados Unidos";"Grupo D";"14";"13";"false"
"USA-14";"274";"Estados Unidos";"Grupo D";"14";"14";"false"
"USA-15";"275";"Estados Unidos";"Grupo D";"14";"15";"false"
"USA-16";"276";"Estados Unidos";"Grupo D";"14";"16";"false"
"USA-17";"277";"Estados Unidos";"Grupo D";"14";"17";"false"
"USA-18";"278";"Estados Unidos";"Grupo D";"14";"18";"false"
"USA-19";"279";"Estados Unidos";"Grupo D";"14";"19";"false"
"USA-20";"280";"Estados Unidos";"Grupo D";"14";"20";"false"
"PAR-1";"281";"Paraguai";"Grupo D";"15";"1";"false"
"PAR-2";"282";"Paraguai";"Grupo D";"15";"2";"false"
"PAR-3";"283";"Paraguai";"Grupo D";"15";"3";"false"
"PAR-4";"284";"Paraguai";"Grupo D";"15";"4";"false"
"PAR-5";"285";"Paraguai";"Grupo D";"15";"5";"false"
"PAR-6";"286";"Paraguai";"Grupo D";"15";"6";"false"
"PAR-7";"287";"Paraguai";"Grupo D";"15";"7";"false"
"PAR-8";"288";"Paraguai";"Grupo D";"15";"8";"false"
"PAR-9";"289";"Paraguai";"Grupo D";"15";"9";"false"
"PAR-10";"290";"Paraguai";"Grupo D";"15";"10";"false"
"PAR-11";"291";"Paraguai";"Grupo D";"15";"11";"false"
"PAR-12";"292";"Paraguai";"Grupo D";"15";"12";"false"
"PAR-13";"293";"Paraguai";"Grupo D";"15";"13";"false"
"PAR-14";"294";"Paraguai";"Grupo D";"15";"14";"false"
"PAR-15";"295";"Paraguai";"Grupo D";"15";"15";"false"
"PAR-16";"296";"Paraguai";"Grupo D";"15";"16";"false"
"PAR-17";"297";"Paraguai";"Grupo D";"15";"17";"false"
"PAR-18";"298";"Paraguai";"Grupo D";"15";"18";"false"
"PAR-19";"299";"Paraguai";"Grupo D";"15";"19";"false"
"PAR-20";"300";"Paraguai";"Grupo D";"15";"20";"false"
"TUR-1";"301";"Turquia";"Grupo D";"16";"1";"false"
"TUR-2";"302";"Turquia";"Grupo D";"16";"2";"false"
"TUR-3";"303";"Turquia";"Grupo D";"16";"3";"false"
"TUR-4";"304";"Turquia";"Grupo D";"16";"4";"false"
"TUR-5";"305";"Turquia";"Grupo D";"16";"5";"false"
"TUR-6";"306";"Turquia";"Grupo D";"16";"6";"false"
"TUR-7";"307";"Turquia";"Grupo D";"16";"7";"false"
"TUR-8";"308";"Turquia";"Grupo D";"16";"8";"false"
"TUR-9";"309";"Turquia";"Grupo D";"16";"9";"false"
"TUR-10";"310";"Turquia";"Grupo D";"16";"10";"false"
"TUR-11";"311";"Turquia";"Grupo D";"16";"11";"false"
"TUR-12";"312";"Turquia";"Grupo D";"16";"12";"false"
"TUR-13";"313";"Turquia";"Grupo D";"16";"13";"false"
"TUR-14";"314";"Turquia";"Grupo D";"16";"14";"false"
"TUR-15";"315";"Turquia";"Grupo D";"16";"15";"false"
"TUR-16";"316";"Turquia";"Grupo D";"16";"16";"false"
"TUR-17";"317";"Turquia";"Grupo D";"16";"17";"false"
"TUR-18";"318";"Turquia";"Grupo D";"16";"18";"false"
"TUR-19";"319";"Turquia";"Grupo D";"16";"19";"false"
"TUR-20";"320";"Turquia";"Grupo D";"16";"20";"false"
"GER-1";"321";"Alemanha";"Grupo E";"17";"1";"false"
"GER-2";"322";"Alemanha";"Grupo E";"17";"2";"false"
"GER-3";"323";"Alemanha";"Grupo E";"17";"3";"false"
"GER-4";"324";"Alemanha";"Grupo E";"17";"4";"false"
"GER-5";"325";"Alemanha";"Grupo E";"17";"5";"false"
"GER-6";"326";"Alemanha";"Grupo E";"17";"6";"false"
"GER-7";"327";"Alemanha";"Grupo E";"17";"7";"false"
"GER-8";"328";"Alemanha";"Grupo E";"17";"8";"false"
"GER-9";"329";"Alemanha";"Grupo E";"17";"9";"false"
"GER-10";"330";"Alemanha";"Grupo E";"17";"10";"false"
"GER-11";"331";"Alemanha";"Grupo E";"17";"11";"false"
"GER-12";"332";"Alemanha";"Grupo E";"17";"12";"false"
"GER-13";"333";"Alemanha";"Grupo E";"17";"13";"false"
"GER-14";"334";"Alemanha";"Grupo E";"17";"14";"false"
"GER-15";"335";"Alemanha";"Grupo E";"17";"15";"false"
"GER-16";"336";"Alemanha";"Grupo E";"17";"16";"false"
"GER-17";"337";"Alemanha";"Grupo E";"17";"17";"false"
"GER-18";"338";"Alemanha";"Grupo E";"17";"18";"false"
"GER-19";"339";"Alemanha";"Grupo E";"17";"19";"false"
"GER-20";"340";"Alemanha";"Grupo E";"17";"20";"false"
"CIV-1";"341";"Costa do Marfim";"Grupo E";"18";"1";"false"
"CIV-2";"342";"Costa do Marfim";"Grupo E";"18";"2";"false"
"CIV-3";"343";"Costa do Marfim";"Grupo E";"18";"3";"false"
"CIV-4";"344";"Costa do Marfim";"Grupo E";"18";"4";"false"
"CIV-5";"345";"Costa do Marfim";"Grupo E";"18";"5";"false"
"CIV-6";"346";"Costa do Marfim";"Grupo E";"18";"6";"false"
"CIV-7";"347";"Costa do Marfim";"Grupo E";"18";"7";"false"
"CIV-8";"348";"Costa do Marfim";"Grupo E";"18";"8";"false"
"CIV-9";"349";"Costa do Marfim";"Grupo E";"18";"9";"false"
"CIV-10";"350";"Costa do Marfim";"Grupo E";"18";"10";"false"
"CIV-11";"351";"Costa do Marfim";"Grupo E";"18";"11";"false"
"CIV-12";"352";"Costa do Marfim";"Grupo E";"18";"12";"false"
"CIV-13";"353";"Costa do Marfim";"Grupo E";"18";"13";"false"
"CIV-14";"354";"Costa do Marfim";"Grupo E";"18";"14";"false"
"CIV-15";"355";"Costa do Marfim";"Grupo E";"18";"15";"false"
"CIV-16";"356";"Costa do Marfim";"Grupo E";"18";"16";"false"
"CIV-17";"357";"Costa do Marfim";"Grupo E";"18";"17";"false"
"CIV-18";"358";"Costa do Marfim";"Grupo E";"18";"18";"false"
"CIV-19";"359";"Costa do Marfim";"Grupo E";"18";"19";"false"
"CIV-20";"360";"Costa do Marfim";"Grupo E";"18";"20";"false"
"CUW-1";"361";"Curaçao";"Grupo E";"19";"1";"false"
"CUW-2";"362";"Curaçao";"Grupo E";"19";"2";"false"
"CUW-3";"363";"Curaçao";"Grupo E";"19";"3";"false"
"CUW-4";"364";"Curaçao";"Grupo E";"19";"4";"false"
"CUW-5";"365";"Curaçao";"Grupo E";"19";"5";"false"
"CUW-6";"366";"Curaçao";"Grupo E";"19";"6";"false"
"CUW-7";"367";"Curaçao";"Grupo E";"19";"7";"false"
"CUW-8";"368";"Curaçao";"Grupo E";"19";"8";"false"
"CUW-9";"369";"Curaçao";"Grupo E";"19";"9";"false"
"CUW-10";"370";"Curaçao";"Grupo E";"19";"10";"false"
"CUW-11";"371";"Curaçao";"Grupo E";"19";"11";"false"
"CUW-12";"372";"Curaçao";"Grupo E";"19";"12";"false"
"CUW-13";"373";"Curaçao";"Grupo E";"19";"13";"false"
"CUW-14";"374";"Curaçao";"Grupo E";"19";"14";"false"
"CUW-15";"375";"Curaçao";"Grupo E";"19";"15";"false"
"CUW-16";"376";"Curaçao";"Grupo E";"19";"16";"false"
"CUW-17";"377";"Curaçao";"Grupo E";"19";"17";"false"
"CUW-18";"378";"Curaçao";"Grupo E";"19";"18";"false"
"CUW-19";"379";"Curaçao";"Grupo E";"19";"19";"false"
"CUW-20";"380";"Curaçao";"Grupo E";"19";"20";"false"
"ECU-1";"381";"Equador";"Grupo E";"20";"1";"false"
"ECU-2";"382";"Equador";"Grupo E";"20";"2";"false"
"ECU-3";"383";"Equador";"Grupo E";"20";"3";"false"
"ECU-4";"384";"Equador";"Grupo E";"20";"4";"false"
"ECU-5";"385";"Equador";"Grupo E";"20";"5";"false"
"ECU-6";"386";"Equador";"Grupo E";"20";"6";"false"
"ECU-7";"387";"Equador";"Grupo E";"20";"7";"false"
"ECU-8";"388";"Equador";"Grupo E";"20";"8";"false"
"ECU-9";"389";"Equador";"Grupo E";"20";"9";"false"
"ECU-10";"390";"Equador";"Grupo E";"20";"10";"false"
"ECU-11";"391";"Equador";"Grupo E";"20";"11";"false"
"ECU-12";"392";"Equador";"Grupo E";"20";"12";"false"
"ECU-13";"393";"Equador";"Grupo E";"20";"13";"false"
"ECU-14";"394";"Equador";"Grupo E";"20";"14";"false"
"ECU-15";"395";"Equador";"Grupo E";"20";"15";"false"
"ECU-16";"396";"Equador";"Grupo E";"20";"16";"false"
"ECU-17";"397";"Equador";"Grupo E";"20";"17";"false"
"ECU-18";"398";"Equador";"Grupo E";"20";"18";"false"
"ECU-19";"399";"Equador";"Grupo E";"20";"19";"false"
"ECU-20";"400";"Equador";"Grupo E";"20";"20";"false"
"NED-1";"401";"Holanda";"Grupo F";"21";"1";"false"
"NED-2";"402";"Holanda";"Grupo F";"21";"2";"false"
"NED-3";"403";"Holanda";"Grupo F";"21";"3";"false"
"NED-4";"404";"Holanda";"Grupo F";"21";"4";"false"
"NED-5";"405";"Holanda";"Grupo F";"21";"5";"false"
"NED-6";"406";"Holanda";"Grupo F";"21";"6";"false"
"NED-7";"407";"Holanda";"Grupo F";"21";"7";"false"
"NED-8";"408";"Holanda";"Grupo F";"21";"8";"false"
"NED-9";"409";"Holanda";"Grupo F";"21";"9";"false"
"NED-10";"410";"Holanda";"Grupo F";"21";"10";"false"
"NED-11";"411";"Holanda";"Grupo F";"21";"11";"false"
